geneset	symbol
c2_cp_BIOCARTA_CERAMIDE_PATHWAY	CASP8, NSMAF, BCL2, MAPK8, RAF1, MAP3K1, RELA, BAX, MAP2K1, TNFRSF1A, MAP2K4, SMPD1, CYCS, TRAF2, FADD, RIPK1, MAPK3, BAD, NFKB1, TRADD, AIFM1, MAPK1
c2_cp_BIOCARTA_CFTR_PATHWAY	EZR, CFTR, SLC9A3R1, PRKAR1A, PRKAR2A, PRKAR2B, PRKAR1B, ADCY1, PRKACB, PRKACG, GNAS, ADRB2
c2_cp_BIOCARTA_CHEMICAL_PATHWAY	CASP9, PTK2, BCL2, CASP7, BID, PRKCB, BCL2L1, STAT1, PRKCA, APAF1, BAX, EIF2S1, CASP6, AKT1, TP53, CASP3, CYCS, ATM, TLN1, BAD, PXN, PARP1
c2_cp_BIOCARTA_CHREBP2_PATHWAY	YWHAQ, GCK, PRKAR2B, PPP2R2D, PPP2R2A, PPP2R2B, MLX, MLXIPL, FASN, PRKAB2, PPP2CB, PRKAB1, PPP2CA, PRKAA2, PPP2R1A, PRKAA1, PPP2R1B, PRKAG2, YWHAB, PRKACA, PRKACB, PRKACG, PRKAG3, PPP2R5A, PPP2R4, PPP2R3A, PPP2R2C, PRKAG1, PPP2R5E, PPP2R5D, PRKAR1A, PPP2R5C, PRKAR2A, PPP2R5B, ACACA, PRKAR1B, PPP2R3B, YWHAZ, YWHAH, PKLR, YWHAG, YWHAE
c2_cp_BIOCARTA_CK1_PATHWAY	CDK5R1, PLCB1, CSNK1D, PRKAR2B, PRKACB, PRKACG, GRM1, PPP3CA, CDK5, PPP2CA, PRKAR1A, PRKAR2A, PPP1CA, PRKAR1B, DRD1, DRD2, PPP1R1B
c2_cp_BIOCARTA_CLASSIC_PATHWAY	C9, C2, C1S, C6, C3, C5, C1QB, C1QA, C1R, C1QC, C4B, C4A, C8A, C7
c2_cp_BIOCARTA_COMP_PATHWAY	MASP1, C9, C2, C1S, C6, C3, C5, C1QB, CFD, C1QA, C1R, C1QC, MBL2, C4B, C4A, MASP2, C8A, C7, CFB
c2_cp_BIOCARTA_CREB_PATHWAY	HRAS, MAPK14, PRKCB, PRKCA, PRKAR2B, ADCY1, CAMK2A, CAMK2B, RPS6KA5, CAMK2D, CAMK2G, PRKACB, PRKACG, GNAS, CREB1, AKT1, PIK3CA, GRB2, PRKAR1A, PRKAR2A, PRKAR1B, MAPK3, PIK3R1, RAC1, SOS1, MAPK1, RPS6KA1
c2_cp_BIOCARTA_CSK_PATHWAY	ZAP70, CSK, CD4, PRKAR2B, PRKACB, CD3D, PRKACG, CD3E, CD3G, GNAS, GNGT1, TRB@, GNB1, TRA@, PRKAR1A, PRKAR2A, CD247, CREBBP, PRKAR1B, ADCY1, LCK, PTPRC, HLA-DRB1, HLA-DRA
c2_cp_BIOCARTA_CTCF_PATHWAY	PTEN, CDKN2A, MDM2, CDKN1B, CD79A, TP53, CD79B, MTOR, TGFB2, PIK3CA, TGFB1, RPS6KB1, PPP2CA, SMAD5, TGFBR3, SMAD4, TGFBR2, TGFBR1, PIK3CG, PIK3R1, MYC, SMAD1, TGFB3
c2_cp_BIOCARTA_CTL_PATHWAY	CD3D, CD3E, CD3G, ITGAL, ICAM1, PRF1, FAS, TRB@, TRA@, FASLG, ITGB2, CD247, GZMB, B2M, HLA-A
c2_cp_BIOCARTA_CTLA4_PATHWAY	PTPN11, CD80, CD86, CD28, CD3D, CD3E, CD3G, ITK, PIK3CA, ICOSLG, TRB@, TRA@, GRB2, CD247, ICOS, PIK3R1, LCK, HLA-DRB1, HLA-DRA, CTLA4, IL2
c2_cp_BIOCARTA_CXCR4_PATHWAY	HRAS, PTK2, RAF1, PRKCB, PRKCA, RELA, MAP2K1, BCAR1, GNAQ, CRK, GNAI1, PIK3CA, CXCL12, GNGT1, GNB1, PLCG1, MAPK3, CXCR4, PTK2B, PIK3C2G, NFKB1, PIK3R1, PXN, MAPK1
c2_cp_BIOCARTA_CYTOKINE_PATHWAY	IL12B, LTA, IL13, IL14, IL3, IL12A, IL17A, IL18, TNF, IL16, IL1A, IL15, IFNG, IFNB1, IFNA1, IL4, IL5, IL10, IL9, IL6, IL8, IL2
c2_cp_BIOCARTA_D4GDI_PATHWAY	CASP10, JUN, CASP9, CASP8, APAF1, ARHGAP5, CASP1, CASP3, PRF1, CYCS, GZMB, ARHGDIB, PARP1
c2_cp_BIOCARTA_DC_PATHWAY	CSF2, IL12B, CD40, IL13, IL3, IL12A, CD2, CD33, TLR9, ANPEP, CD7, CD5, IFNG, ITGAX, IFNB1, TLR4, IFNA1, IL4, TLR7, TLR2, IL5, IL10
c2_cp_BIOCARTA_DEATH_PATHWAY	CASP10, CASP9, GAS2, CASP8, CASP7, CHUK, RELA, APAF1, TNFSF12, TNFSF10, BIRC3, XIAP, LMNA, SPTAN1, TNFRSF10A, TRAF2, FADD, CFLAR, TNFRSF10B, RIPK1, MAP3K14, TRADD, TNFRSF25, BCL2, BID, BIRC2, CASP6, CASP3, CYCS, DFFA, DFFB, NFKB1, NFKBIA
c2_cp_BIOCARTA_DNAFRAGMENT_PATHWAY	DFFA, DFFB, CASP7, HMGB2, HMGB1, GZMB, TOP2B, ENDOG, TOP2A, CASP3
c2_cp_BIOCARTA_DREAM_PATHWAY	JUN, PRKAR2B, PRKACB, PRKACG, CREB1, CREM, OPRK1, PRKAR1A, PRKAR2A, PRKAR1B, MAPK3, POLR2A, FOS, KCNIP3
